Implementation,1024,2048,4096,8192,16384
Basic dgemv,4.249237804878049e-10,4.2417795265983405e-10,4.332200009153039e-10,4.356493228785244e-10,4.356759111801953e-10
OpenMP dgemv; P=1,4.1634908536585363e-10,4.2417795265983405e-10,4.3375631178301197e-10,4.352097922769437e-10,4.347353327881828e-10
OpenMP dgemv; P=16,1.1718750000000002e-10,4.217949304538799e-11,9.668493142848425e-11,9.762049157817649e-11,9.959887032251297e-11
OpenMP dgemv; P=4,1.3910060975609757e-10,1.3952595015861396e-10,1.2025281455943373e-10,1.1513466860048212e-10,1.1449539701422795e-10
OpenMP dgemv; P=64,2.9582698170731706e-10,1.519176656295754e-10,1.0145213914144496e-10,9.349337372604662e-11,9.202581736821026e-11
Reference dgemv,7.621951219512195e-11,6.255433290629575e-11,1.2165318182511593e-10,1.3552441871109483e-10,1.343183194423253e-10
Vectorized dgemv,9.813262195121951e-11,1.1521912365788189e-10,1.2460289159751038e-10,1.2554930895657879e-10,1.2836939392927982e-10
